Tweet,Subject_of_tweet,Emotion
@mention 'GoodGuide' iphone app scans barcode to rank environmental responsibility of the company-nice pressure!#smmnextgen #sxsw,iPad or iPhone App,1
i think i'm getting ready to order an iPad 2 with the $$ i would have had to spend to attend #SXSW,iPad,1
Wow. They're really trying to tempt me to pick up an iPad 2 tomorrow. {link} #apple #sxsw #austintx,iPad,1
I know it's #SXSW because my iPhone has started lying to me about its signal strength.,iPhone,0
Wow. That's dedication RT @mention Well.. I'm first in line. 10.5 hours to go.  #iPad #Apple #SXSW #sleepy,iPad,1
The world's largest iPad. #sxsw {link},,1
@mention 's nexus s on t-mobile is 10x more useful than my iphone4 on AT&amp;T at #sxsw. Is it because too many ppl have iPhone?,iPhone,0
Google 80's party at Maggie Maes #Sxsw... Got some free glow in the dark shades,,1
"At Google's scale, tiny changes (even in colors of blue) can be meaningful. There's an optimum shade of blue for links. #sxsw @mention",Google,1
"Hey, that's us!! &gt;&gt; The Go Game launches do-it-yourself iPhone scavenger hunts {link} (via @mention see you at #SXSW",iPhone,1
Hmm...can't get Twitter searches to update in Hootsuite or Tweetdeck on iPad. #SXSW,iPad or iPhone App,0
@mention ÛÏ@mention Last day to get the #LP Austin iPhone app for free {link} #travel #sxsw&quot;,iPad or iPhone App,1
@mention (CEO Gowalla) tells his journey of Blinksale to iconbuffet to Packrat. Then the #iPhone was born and the lightbulb turned on...#sxsw,iPhone,1
@mention (via @mention #sxsw ipad store sold out of everything except 64gig wifi only white,iPad,1
"(CNNMoney) For #SXSW 2011, any computing device bigger than an iPad is passÌ©. The mobile space has all the buzz {link} #wssxsw",iPad or iPhone App,1
me too :-) RT @mention Look everyone! Zomg @mention got an iPad 2 on the first day! #sxsw {link},iPad,1
"Get (down)loaded Hoot! - RT #HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android {link}",,1
@mention {link} you get the #sxsw app yet? Android version has the schedule.,Android App,1
@mention @mention  @mention #sxsw just tried out the new ipad app and it's BEAUTIFUL!!! Ps thanks for the TVontheradio TIX!!! Yall rock!!!,iPad or iPhone App,1
@mention @mention  Google Circles will be their new social media site? Wow. #SXSW,,1
"@mention @mention  In our studies players tell us, &quot;Petting my iPhone makes me happy.&quot; #tapworthy #sxsw",iPhone,1
@mention @mention @mention @mention Paper phones?  Means an iPad will likely be useless at #sxsw as well. #fail,iPad,0
"@mention @mention @mention &quot;@mention Google to Launch Major New Social Network: Circles, Possibly Today {link}  #sxsw&quot;",Other Google product or service,1
All this @mention #sxsw buzz makes me wish I had an Android or I-Phone.  #beforetwitter I wouldn't have had such envy.,iPhone,1
@mention @mention Apple sets up temporary store at #SXSW; iPad anyone? {link} cc @mention,iPad,1
Love it. @mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot;,Apple,1
Love it. @mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to... {link},Apple,1
"I agree, @mention but they're all so great!  &quot;iPhone Apps For Mealtime&quot; {link} (via @mention #bizzy #sxsw",iPad or iPhone App,1
"Yeah! RT @mention Details for the iPad 2 giveaway coming tonight, RT this! #SXSW #sxswi",iPad,1
Woot! RT @mention First Android @mention disc {link} ... Market version coming soon! #SXSW,Android,1
"Yay! RT ÛÏ@mention Flipboard's next platform will be the iPhone, CEO @mention says #sxswÛ",iPhone,1
Score! RT@mention Google handing out free pi for pi day! #SXSW #win,Google,1
"Whoa. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",Other Google product or service,1
Cool! RT @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} #sxsw #iPad2,Apple,1
"Nice. RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",Apple,1
@mention @mention I'm reading your book on my flight to #SXSW and the guy next to me is reading it on the iPad. BOOM!,,1
Haha! RT @mention If you haven't waited in line for an Apple product you're missing out on an important rite of passage. #sxsw,Apple,1
Woo hoo! @mention is finally back on the iPhone. {link} #sxsw #il,iPhone,1
@mention @mention lots of iPad 2's here in Austin! Bigger than I thought it would be. #SXSW,iPad,1
"@mention @mention NC is buzzing #iPad2 but geekdom in Austin #SXSW will elevate, smart # Apple.",Apple,1
Yeay! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by #Masha {link},iPad or iPhone App,1
@mention @mention saw this morning that Google Circles would start rollout at #sxsw - not holding breath but open-minded,,1
"I want a @mention SO bad for #sxsw, would make our live blogging from the iPad so much more efficient. Beautiful case!! Beats my leather 1",iPad,1
Woohoo! ÛÏ@mention Standing in line. For the 6th time. #ipad2 #apple #sxsw #popupstoreÛ,iPad,1
Woot! RT @mention So @mention just spilled the beans: next platform for Flipboard is the iPhone. Team started working on it. #sxflip #SXSW,iPhone,1
@mention @mention Thanks for the love! Show us your iPhone via twitpic and we'll share the love ;] #zazzlesxsw #sxsw,iPhone,1
@mention @mention Wishing you a most excellent day at #sxsw today! I've got iPad envy!,iPad,1
#justmet @mention who worked for Apple for 25 years! #SXSW,Apple,1
"#SXSW RT @mention WOW, Apple does the right thing in Japan, a must read: {link}",Apple,1
"@mention @mention you probably know this, but #Apple is opening a Pop-Up store in Austin For #SXSW. You can et the #iPad2  there!",Apple,1
"Funny RT @mention Yes, there's a line in front of the all-but-confirmed pop-up Apple Store at #SXSW. {link}",Apple,1
Nice! RT @mention Yes! Gowalla wins best Andoid app at the Team Android Choice Awards. Thanks all! #sxsw,Android App,1
Now *that* is customer service ÛÓ &quot;Apple opens temporary store near #SXSW&quot; {link},Apple,1
*APPLAUDS*' {link} Holler Gram is the most fun iPad app!! It's for #sxsw but fun for anyone to play with!!,iPad or iPhone App,1
"Dealing w/ @mention white freeze screen far too much, while at #SXSW everyone has an iPhone...making conversion a possibility #Efficient",iPhone,1
"Ideally, &quot;Google logos bring people together socially.&quot; @mention (creative lead for the google doodle team) #gsdm #googledoodle #sxsw",Google,1
"@mention &quot;I've worked at Google for over 11 years, so I've seen a lot of evil.&quot; #qagb #sxsw",Google,0
"@mention &quot;OMG I'm gonna miss 2 panels at #sxsw standing in line for and 1 panel playing with my new iPad, but it'll be worth it. #ponies&quot;",iPad,1
Re: iPad &quot;The arm is a giant meat-pointer&quot; hilarious. @mention #sxsw,iPad,1
#SXSW Tip#2 Use your smartphone's Google Maps App when you land in Austin to find the next $1 bus downtown. :) {link},Other Google product or service,1
The only #airline to be mentioned by Guy Kawasaki as delightful like Apple (drumroll)... @mention (!!) Congrats! #sxsw,Apple,1
Must see #android app at #sxsw &quot;Bizzy&quot; {link},Android App,1
@mention #BT #SXSW &quot;Having a really GREAT social search is probably a very good idea for #google&quot; @mention,Google,1
@mention #discovr now available on #iPhone and killing it at #sxsw - GET IT!! - {link},iPad or iPhone App,1
@mention #hollergram app is killing it at #sxsw {link},iPad or iPhone App,1
#pubcamp #kirkus #sxsw   download Qrank on your ipad/iphone before you come to pubcamp sxsw 2011 - prizes!,iPad or iPhone App,1
#pubcamp #kirkus #sxsw download Qrank on your ipad/iphone before you come to pubcamp sxsw 2011 - prizes!,iPad or iPhone App,1
"Oh yeah! #saysshewithoutanipad RT @mention Flipboard's next platform will be the iPhone, CEO @mention says #sxsw (via @mention",iPhone,1
#sxsw At #smileyparty and really want to win sn iPad!!!!!,iPad,1
@mention #sxsw - free tunage on iTunes {link},Other Apple product or service,1
Heard at #sxsw #Android is now the leading market share of smart phones in US. #getjarsxsw,Android,1
"@mention #sxsw #google tv - thanks to Google TV, I can watch Guy live in my own livingÛ_ {link}",Other Google product or service,1
@mention #sxsw #ipad fans get really excited for the unique design of  the klick #sleeves. Do you have any models with straps?,iPad,1
"With the #sxsw app and Google Maps, I'm pretty sure that the schwag bag is just a waste of paper.",Other Google product or service,1
"@mention #sxsw blogger is orange, wodpress is blue, Google owns the market, so what do you do #winning",Google,1
My first #SXSW blog post for the @mention Grand opening of the Apple popup store {link},Apple,1
Those at #SXSW check out the Holler Gram ipad app from @mention  {link} &lt; tis covered in awesome sauce!,iPad or iPhone App,1
@mention #SXSW don't forget @mention to plan your schedule. Plus our free iphone app {link},iPad or iPhone App,1
"All this #sxsw gadget lust is rubbing off on me, I think I want an iPad 2... must escape soon!",iPad,1
@mention #SXSW iPad rocks,iPad,1
@mention #sxsw is going to be alot better when u have iPad 5 to carry around ;),iPad,1
"#sxswnui #sxsw laptop denotes work, #iPad denotes fun",iPad,1
Google's #SxSW party theme is &quot;Party like it's 1986&quot; :) (@mention Maggie Mae's) [pic]: {link},Google,1
Enjoying #SXSW Radio Station {link} If you have an iphone use link {link} &amp; plug it into your sound system.,iPhone,1
Me too!! #sxsw RT @mention Hanging out with @mention at the @mention #google Industry Party...good crowd!  #sxsw,Google,1
My first #SXSW survival kit. iPhone not in the shot because I'm using it to take the picture.  {link} I might be ready.,iPhone,1
Who's at #sxsw that can a 64gb iPad 2 with 3G? I'll Paypal right now! ;),iPad,1
Fear not #SXSW-ers! RT @mention Confirmed! Apple store 2 week popup in Austin for #SXSW {link},Apple,1
"&quot;At #SXSW, Apple schools the marketing experts&quot;  {link}",Apple,1
"#tech At #SXSW, Apple schools the marketing experts {link}",Apple,1
"bored at #SxSW, try this iphone app: {link}",iPad or iPhone App,1
Free for #SXSW: fluffertraX Radio #iPhone app--{link},,1
Going to #SXSW? Come by the #EMC Consulting booth for your chance to win an iPad 2! @mention @mention,iPad,1
Going to #SXSW? The new iPhone guide to #Austin by @mention is free March 9-15. Hard to beat free. #lp,iPad or iPhone App,1
At #sxsw #tapworthy iPad Design Headaches - avoiding the pitfalls of the new design challenges,iPad,0
Evernote + iPhone is awesome for #sxsw notes/photos #taccsxsw,iPhone,1
Disaster = iPhone died in middle of #sxsw ... can't function. heading to apple store.,iPhone,0
Quadroid = Qualcomm + Android just called the platform of the next decade vs Wintel #sxsw #cloud,Android,1
"I'll pay $900 for a new iPad 2, white, 32 GB, 3G in the next 20 hours. {link} #willpay #sxsw #zaarly",iPad,1
Google: 40% of map usage is mobile. Seeing a demo of new version of mobile maps. Nice! #SXSW,Other Google product or service,1
"The iPad 1 is so March 11, 2011 4:59PM PST. #sxsw",iPad,0
"#SXSW 2011 Trends:
Out: Google
In: Twitter
Next: Angry Birds",Google,1
#SXSW 2011: Novelty of #iPad news apps fades fast among digital delegates {link} via @mention,iPad or iPhone App,0
#SXSW 2011: Novelty of iPad news apps fades fast among digital delegates {link},iPad,0
#SXSW 2011: The #Google and #Bing smackdown in all its bloody banality {link},Google,0
#SXSW 2011: The #Google and #Bing smackdown in all its bloody banality {link} via @mention @mention,,0
Not even 10am here in Austin and my iPhone batt is at 54% - shit #SXSW #notevenstartedyet,iPhone,0
The iPad 2 goes on sale next Friday...the Austin Apple Store is going to be busy! #SXSW,iPad,1
The iPad 2 is just a better product... They have had time to make worthwhile improvements... @mention Diller #SXSW,iPad,1
The iPad 2 launch is all the buzz at #SXSW 2011 {link} via @mention @mention #apple #tablet #marketing #advertising #ipod,iPad,1
The iPad 2 launch is really at *South By* in Austin?  That is so inde.    ÛÓ  #sxsw #mac #ipad @mention,iPad,1
The iPad 2 Takes Over #SXSW [#VIDEO] {link} #channels #gadgets #news #uncategorized,iPad,1
The iPad 2 Takes Over #SXSW [#VIDEO]: One of the biggest events the first day of SXSW 2011Û_ {link},iPad,1
The iPad 2 Takes Over #SXSW [VIDEO] {link},iPad,1
The iPad 2 Takes Over #SXSW [VIDEO] {link} via @mention @mention,iPad,1
The iPad 2 Takes Over #SXSW [VIDEO]: {link},iPad,1
The iPad 2 Takes Over #SXSW [VIDEO]: {link} via Mashable,iPad,1
The iPad 2 Takes Over SXSW [VIDEO] {link} #apple #iPad #SXSW,iPad,1
The iPad 2 Takes Over SXSW [VIDEO] {link} #ipad2 #SXSW,iPad,1
We're at 2nd and congress #SXSW #RewardsWagon with @mention bookbook iPad cases. Get here fast. :),iPad,1
The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight {link} #SXSW #KeepAustinWeird,,1
"#sxsw: #15slides: Gruber: keeps on desk Apple Extended Keyboard 2 (discontinued in 1991, $169). Loud. But feels like he writes better.",,1
#wjchat Q7A: I'm going iPhone/iPad only. Bought a Zagg keyboard. I have high hopes this plan will work. #SXSW,iPhone,1
{link} via @mention pretty neat database I must say.  does it work on my #android we shall see. #sxsw #party #free,Android,1
Just won a @mention #sxsw mystery prize! I hope it's an iPad 2:) Thanks for a great panel and the gift. #DiscoTalk,iPad,1
"$15k for a &quot;high-quality PDF&quot; iPad app is a good investment for small mags, says Chris Tomlinson, formerly Texas Obs (now AP) #sxsw",iPad or iPhone App,1
We setup a #SXSW demo restaurant page. Sign up or download our iPhone app to check it out {link} &amp; say hi to @mention at #SXSWi,iPad or iPhone App,1
Just got a back door invite to the Google party. goona network my ass off! #SXSW,Google,1
Great idea behind #circles RT @mention &amp; @mention Google Launching Secret New Social Network Called Circles {link} #sxsw,Google,1
"3rd time a charm? All about privacy! RT @mention Google to Launch New Social Network, Circles, maybe today? {link} #sxsw",,1
Just got a free iPhone charger. Someone came up to me and gave me one randomly. I love #sxsw!,iPhone,1
Just got a free iPhone-charger from Alex on the #Powermatteam. Wow. Makes life at #SXSW so much easier! Thanks!  {link},iPhone,1
Enjoying a Google ice cream sandwich at the GSD&amp;M party...with an edible wrapper! #welivehere #gsdm #SXSW  {link},Google,1
"There is a great festival #app for #sxsw featured on the app store works with google maps and plan schedule, and it's #free",iPad or iPhone App,1
"Watching a guy simultaneously use a laptop and an iPad. The Force is strong with this one, mmm. #sxsw",iPad,1
The Beluga iPhone app is the highlight of this #SXSW. Excellent way to coordinate the #sxsw4japan relief effort.,iPad or iPhone App,1
Apple is a more selfish brand than Microsoft but it has served its brand well.#sxsw,Apple,0
Just saw a preview of the new @mention iPad app. Awesome. #sxsw,iPad or iPhone App,1
"Watching a promo for Google earth engine at 'Techies can save the world, why don't they?'. Harnessing collective power for good. #sxsw",Google,1
If I was a really bad person I could have just stolen this guys ipad... Just saying. #sxsw,iPad,1
Just had a really great #mophie experience at #sxsw -a user for over 3 months I highly recommend their iPhone 4 battery #goodcustomerservice,iPhone,1
It's not a rumor: #Apple is opening up a pop-up store in downtown Austin for #SXSW &amp; iPad 2 launch (via @mention {link},iPad,1
It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch: It'... {link},Apple,1
"Just got a shiny new #iPad2 at #SXSW ? Discover new music with {link} (built in HTML5, not Flash - looks great on iPad)",iPad,1
There is a tech bro posed as a homeless person outside the apple pop up with a sign asking for $$$ for an iPad #SXSW,iPad,1
#sxsw beta testing interactive book for iPad app by Moonbot studios out of Louisiana.  Cool app.,iPad or iPhone App,1
At Q&amp;A with Google and Bing on website rankings. Fun. #sxsw,Google,1
"3/5 available for Android. &gt;&gt; 5 Absolute, Must-Have Apps to Rock #SXSW Interactive by @mention {link} via @mention",Android App,1
Free portable iPhone charger from @mention I'm about to use the heck out of this at #SXSW. {link},iPhone,1
saw #Hashable pushed out an update to its iPhone app - looks ready to use as the paperless biz card solution for  #SXSW,iPad or iPhone App,1
It's probably best to keep me away from any Apple pop up stores - the temptation to get a White 3G iPad for #SXSW is insanely tempting.,iPad,1
"Learning about all the latest food related apps.  Half the people in this rm make apps #sxsw #gsdm check out lovefresh, coming soon  iphone",iPad or iPhone App,1
Not just about pretty content. Nat Geo has pretty article on iPad. Cooler is twitter list of current Arctic explorers. #flipboard #SXSW,iPad,1
@mention about to talk at #sxsw on mistakes building #Netflix #iphone app,,0
fucking mac users..... {link} #sxsw CWebb iPad Grant Hill,Apple,0
"Yikes, reached a new level of Apple-fanboyism last night: literally fell asleep with a MacBook Pro, iPad 2, &amp; iPhone 4 on top of me. #SXSW",Apple,1
"Touch: trackpads first, iPhone, iPad - positives- more natural, don't have to sit, mobile, more relaxed #SXSW #sxswnui",iPhone,1
Has an iPad 2 !!! Wohooo! Tnx Apple for the popup shop at #sxsw!,iPad,1
Got my ipad 2 and gave to red cross for japan what a first day at #sxsw,iPad,1
Win an iPad 2 at SXSW via @mention ! #sxsw {link},iPad,1
"has an ipad 2 in his hands, and it is exquisite. #sxsw",iPad,1
Win an iPad 2! via @mention Video ClipCon! See intro reel at {link} #sxsw #suasxsw #sxswaccel #entrepreneur #smallbiz #ceokidschat,iPad,1
writer iPad app {link} saved my ass on flight &amp; each bigger #SXSW panel - good job @mention @mention :) {link},iPad or iPhone App,1
Dawn's iPad App of the Week is up early to help you prep for #SXSW: {link},iPad or iPhone App,1
Win an iPad at SXSW via @mention #sxsw {link},iPad,1
#SXSW: iPad Design Headaches (Take Two Tablet and Call Me in the Morning) {link},iPad,0
Already had my first Google Circle search result. {link} cc @mention @mention #sxsw,Other Google product or service,1
so the iPad will be available while I'm in Austin for #sxsw -- this is major #GeekDilemma,iPad,1
#sxsw: ipad2 is coming for you! Will you buy? RT @mention Apple to open a store near SXSW for ipad 2 release. {link},iPad,1
"Buying iPad2? Turn in ur iPad1, Apple store wipes it clean, donates to schools. Mrs. Jobs idea. #Apple #iPad2 #SXSW",Apple,1
Monday's Adfonic Daily is Out! Read about #iphone white release #Google social #sxsw and all things #mobile here Ðü {link},iPhone,1
"LoL U r gadgetzilla! Have fun! @mention It's #SXSW Festival time. OMG I'm scared! Got my netbook, #iPad &amp; my droid!",iPad,1
@mention After #SXSW I will never again take a fully charged IPhone for granted; 24/7 pics edit tweet 4square apps =zap! &lt;Good 2 kno!,,1
"packing bag for #sxsw,not taking DELL laptop (sorry richard)...at the mercy of bb torch and iphone, webmail too i suppose...cheers",iPhone,1
Best schwag I've seen at #SXSW is the @mention battery charger for your iPhone. How do I get one?!?!,iPhone,1
Waiting eagerly for Google to launch their secret new Social Network called Circles today at #SXSW &gt;&gt; Any new updates ?,Other Google product or service,1
Google Brain apologies for randy ads popping up with search results; algorithm skewed over weekend by randy queries from #SXSW attendees.,,0
2+ hour wait at the makeshift Apple store for iPad 2. #fail #sxsw,Apple,0
Want to make #SXSW Film more fun? Download #filmaster app {link} check-in to screenings &amp; get private recommendations!,iPad or iPhone App,1
"Doesn't make sense to limit content to a specific platform, if it's on the iPad it should be on the web @mention interview w/ @mention #sxsw",iPad or iPhone App,0
The big takeaway from #SXSW interactive - I need an iphone.,iPhone,1
Guy Kawasaki &quot;I believe in God because there is no other explanation for the continuous survival of Apple over the years.&quot;. LOL #SXSW,Apple,0
Apple's taking old iPads for Teach For America (user gets a tax write-off) when you buy a new iPad. Kinda cool. #sxsw,Apple,1
9 Essential Apps for #SXSW and Beyond | Underwire | Wired.com {link} #SocialMedia #iPhone #Android,iPad or iPhone App,1
My informal unscientific observation is that #Apple is by far the computer of choice at #SXSW. Hands down.  No contest.,Apple,1
@mention Alive and loving it! Great talks from Jonathan Dahl #minimalistprogramming and Google's Marissa Mayer #MarissaGoogle - #sxsw,Google,1
I just realized that I havnt used my laptop since Thursday. Pure #iPhone with a sprinkle of the #iPad2 on top. #Apple #SXSW,iPhone,1
GroupMe talks about Apple App Store approval woes - there would be a big group of people that would agree with that! #whowillrise #sxsw,Apple,0
It's not all Apple love here at #sxsw. Heard quite a bit of grumbling about holding back features on iPad 1 so people would have to buy v2.,Apple,0
Why does all the #Android meetups here in #Austin are when I'm at work. Well at least there is the PS meetup #sxsw,Android,0
#virtualwallet #sxsw no NFC in #iphone5 bc of standardization while #android will have it #confusion,iPhone,0
Monthly value of user iOS $9.50. Android $7.20. Utility apps most valuable. #sxswEisner #sxsw,,1
DL the #Calyp App today! Avail in the iTunes App Store &amp; Android Market! #Calyp Look for us at #SXSW,Android App,1
Google analytics can track offsite links as virtual page views using JavaScript. #moreknowledge #sxsw #mitharvard,Other Google product or service,1
Google analytics rocks #VIEW512 #SXSW,Other Google product or service,1
Holler Gram for iPad on the iTunes App Store -  {link} (via @mention #sxsw,,1
Holler Gram for iPad on the iTunes App Store: {link} via @mention all you #SXSW-sters great App from #MadebyMany - Free,iPad or iPhone App,1
"UMSHINI WAM/NIGHT FISHING are both weird as shit, but as @mention said they work well together. I liked both, esp the iPhone footage. #SXSW",iPhone,1
"Watching an 8 year old report on #sxsw via his iPhone shows that technology isn't going anywhere...until the robots revolt, that is.",iPhone,1
Just won an awesome iPad from @mention at the #sxswbuffalo lounge! My #sxsw experience is complete!,iPad,1
"#SXSW Vegan Guide Google Map (Austin, TX) ~ {link} ~ Based on the Lazy Smurf's info ~ {link}",Other Google product or service,1
"Don't by an ipad 2 for the rear-facing camera, here is what you get: {link} #sxsw",iPad,0
"I'll use an iPad 2 if someone gives it to me. Otherwise, iPhone is actually more than up to task #sxsw",iPhone,1
Just won an iPad 2 at #sxsw thanks to @mention #fxsw,iPad,1
Just got an iPad courtesy of a random stranger on the street...an Apple investor at #sxsw ... THANK YOU!!!! Utter... {link},iPad,1
@mention An iPad is cheaper than most laptops. #newsapps #sxsw,iPad,1
Is there an iPhone app that people use for #SXSW scheduling? This @mention is awesome but there isn't an app! #flummoxed,iPad or iPhone App,1
@mention and @mention saying hi at #sxsw with their new iPhone cases! #zazzlesxsw {link},,1
@mention and @mention shooting some videos at #sxsw. PS - that is a pic from an iPad 2. {link},iPad,1
"Check in and offers through Google, cool. {link} #SXSW",Google,1
@mention Android just got a big call out at #sxsw in they #gamelayer opening keynote. I knew you'd appreciate.,Android,1
@mention Android needs a way to group apps like you can now do with iPad/iPod. #SXSW #hhrs,Android,0
"Awesome hands on review of the iPad 2 coming tomorrow on @mention , guest post by @mention - he's at #SXSW",iPad,1
#LonelyPlanet #Austin iPhone app is a (free!) godsend. GPS-aware map of the city without the need for 3G or WiFi! #sxsw,iPad or iPhone App,1
Lonely Planet releases free Austin city guide iPhone app for #SXSW. Like there aren't enough apps cluttering up your handset.,iPad or iPhone App,0
Lonely Planet's new iPhone Austin city guide is free March 9-15 for those going to #SXSW! {link} #travel,iPad or iPhone App,1
The day Bank of America launched their iPhone app they got 250k new customers #bankinnovation #SXSW,iPad or iPhone App,1
#sxsw  thanks for the ever present iPhone barging tables...,,1
@mention another google social failure? #sxsw,Google,0
Google plans to bring &quot;The Power of Here&quot; to life in the future by linking the digital and the physical worlds. {link} #sxsw,,1
mom...I want my ipad 2 back! {link} #thingsthatdontgotogether #sxsw Lisa Rinna,iPad,1
I don't want to lose your love #google #SXSW,Google,1
So brilliant. Rosso used a google  doc to paste in a recipe to make mothers think they generated a recipe for her. #leanstartup #sxsw,Other Google product or service,1
what company company has the best supply chain? Walmart and Apple #behance #sxsw,Apple,1
"Is there any way of deleting an app that won't stop loading on the iPhone? Draining my power, but no 'x' to cancel. Help me, #SXSW.",iPad or iPhone App,0
Great recap of a seemingly great #sxsw session: RT @mention Relive the wonder that was the Google v Bing panel: {link},Google,1
Great recap of Google/Bing Q/A session on website ranking #SXSW #qagb {link} (via @mention cc: @mention,Google,1
"iPad 2 Graphics Much Faster Than iPad 1, Motorola Xoom {link} @mention #tech #SXSW",iPad,1
#sxsw #evaporation @mention @mention Business model is the platform; iPhone app makes tools available to developers,iPad or iPhone App,1
I hope  #apple approves iRelay social network for mobile photo sharing app before #SXSW. Easier to share with people of they can download,iPad or iPhone App,1
A major #Apple iOS update the day before #SXSW? What genius project manager came up with that brilliant idea? #NoWhammies,Apple,0
@mention Apple is great at turning the new into the old  #SXSW,Apple,1
Sweet... Apple listened to us!  A temp Apple Store near #SXSW for iPad2 launch!  {link},Apple,1
@mention Apple pop-up store at #sxsw was 5 blocks long! #BetterThingsToDo,Apple,0
Does the apple pop-up store still have iPads? #sxsw #sxswi,iPad,1
"Love the Apple pop-up store at #SXSW. So freaking smart. Now, one question. Will AT&amp;T bring trucks for signal again? Please say yes.",Apple,1
Queue at Apple Pop-Up Store at #sxsw still long!,,0
"At SXSW, Apple schools the marketing experts - CNET {link} #sxsw",Apple,1
"At SXSW, Apple schools the marketing experts {link}  #SXSW",Apple,1
"At SXSW, Apple schools the marketing experts {link} /via @mention #SXSW #Apple",Apple,1
"At SXSW, Apple schools the marketing experts {link} #Apple #JobsCo #SXSW",Apple,1
"At SXSW, Apple schools the marketing experts: {link} via @mention #sxsw #apple #marketing",Apple,1
clever - Apple set to open popup shop in core of #SXSW action {link},Apple,1
"RE: temp Apple store--great move, they really need help with brand recognition :) In all seriousness, pretty cool. #SXSW",Apple,1
Come on #Apple! Why cant I have spell-checking without auto-correct? Must it be all or nothing? #Grrr #sxsw,Apple,0
Line for Apple's iPad 2 popup store is already wrapping around the block. #SXSW  {link},,1
@mention apple's making a temp store for #SXSW 2011 for u to get an iPad 2 !! {link},iPad,1
"Not to fear, #SXSW attendees... you can pick up your iPad 2s from Apple's Austin pop-up shop! {link} via @mention",iPad,1
"as the search from sxsw via twitter does not work, check out google's real time search, at least you get some results #sxsw",Other Google product or service,1
"Share, share and share some more. #Posterous Joins The #SXSW Pile On With Posterous Events For iPhone {link} #socmedia",,1
Tried Square?? It's a credit card reader for iPhone and Android. Amazingly simple. #SXSW impressed. {link},iPad or iPhone App,1
@mention arg. It won't load on me iPhone. Not via the app store or the site. Just trying to #sxsw it and am feelin so out of touch.,iPhone,0
"had to charge the #iphone every 6hours here on #sxsw. running it on lowest possible screen brightness. apple, fix your basics!",iPhone,0
iPhone charging party in the hallway. UX and IA professionals unite! #sxsw,iPhone,1
"Rachael Harris! That's who I saw. That was driving me nuts. Thank you, Google. #sxsw",Google,1
I go to bars and get free drinks because I have an iPhone. #doesdroid #SXSW,iPhone,1
Such a smart idea RT @mention w00t! @mention wrote about our #hollergram iPad app for #sxsw!  {link},iPad or iPhone App,1
Google's Art Project puts famous artworks into 7 billion pixels- allowing you to zoom in &amp; get an entirely different view of art. #SxSW,Google,1
Google's art project would be a great virtual field trip for kids! Museums around the world! #edtech #sxsw,Other Google product or service,1
Good CNN article on why #SXSW is important to social web innovators. {link} This is why I'm bringing Griddler iPad app there.,iPad or iPhone App,1
Android party #sxsw (@mention Lustre Pearl Bar w/ 36 others) {link},Android,1
Apple = case study of great #mktg. At #SXSW they just showed everyone up again with buzz about the &quot;pop-up store&quot;: {link},Apple,1
Is the Flash discussion still relevant? #SXSW #tapworthy iPad design headaches,,0
"Got my flask &amp; my iPad . Yes,  I'm sitting on 9th st waiting for AICN screening. #sxsw #prepared # ILoveaSurprise {link}",iPad,1
"Guy just asked Google's Mayer: it can take a year to remove deadly routes from Google Maps, such as through Death Valley #SXSW",Other Google product or service,0
@mention at #cnngrill #sxsw rockin the #iphone couldn't be cooler {link},iPhone,1
"NYT, WSJ at #SXSW ask: Is there a future for branded, native news apps on the iPad? {link} / no there is NOT!!",iPad or iPhone App,0
"@mention at #SXSW, 9 out of 10 attendees have MAC or iPad.",iPad,1
@mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot; (via @mention,Apple,1
@mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot; /via @mention,Apple,1
@mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot;Û,Apple,1
@mention at #sxsw: Google Will Connect the Digital &amp; Physical Worlds Through Mobile {link} and {link},Google,1
@mention at #SXSW! Be the first to send us a pic of @mention and get a free download of our game! #Android #videogame #smartphone,Android App,1
I just shat a tear. RT @mention Good news for Austin-bound Apple fanboys: {link} #sxsw #ipad2,Apple,1
I hear that Apple is opening a pop-up store downtown in the Scarborough building for SXSW and the iPad2. Cool. #SXSW #newapplestoreaustin,Apple,1
I love that Apple was smart enough to have a popup #SXSW store. Story (+ map!) {link} tip @mention,Apple,1
80s band at google/ACLU 1986 party rocks  #SXSW  {link},Google,1
"Hoping that it will be easier to get an iPad 2 today, since 50% of the target audience is busy at #sxsw #awesometiming",iPad,1
